Skill_Id,Skillset,Mapping_ID_Emp_Id
1,Skills not available,1
2,c,2
3,c++,2
4,java,2
5,matlab,2
6,microsoft office,2
7,core java,2
8,linux,2
9,microsoft excel,2
10,team management,2
11,gnu debugger,2
12,compensation & benefits,3
13,human resources (hr),3
14,payroll administration,3
15,hr transformation,3
16,talent management,3
17,hr strategy,3
18,telecommunications,4
19,pre-sales,4
20,voip,4
21,solution architecture,4
22,sip,4
23,unified communications,4
24,ip,4
25,wireless,4
26,ss7,4
27,network design,4
28,managed services,4
29,product management,4
30,voice over ip (voip),4
31,professional services,4
32,gsm,4
33,ngn,4
34,isdn,4
35,sip trunking,4
36,management,5
37,staffing services,5
38,onboarding,5
39,background checks,5
40,software project management,6
41,requirements analysis,6
42,testing,6
43,software development,6
44,integration,6
45,internet protocol (ip),6
46,wireless technologies,6
47,unix,6
48,embedded systems,6
49,internet of things,6
50,m2m,6
51,datacom,6
52,machine to machine,6
53,talent acquisition,7
54,employee engagement,7
55,hr policies,7
56,human resources,7
57,performance management,7
58,technical recruiting,7
59,business development,7
60,strategy,7
61,hr consulting,7
62,crm,7
63,recruiting,7
64,customer relationship management (crm),7
65,account management,7
66,workforce management,7
67,strategic hr,7
68,new business development,7
69,sales,7
70,lead generation,7
71,employee relations,7
72,leadership,7
73,strategic partnerships,7
74,performance appraisal,7
75,negotiation,7
76,360 feedback,7
77,program management,8
78,project management,8
79,cloud computing,8
80,business intelligence,8
81,sdlc,9
82,it strategy,9
83,requirements gathering,9
84,global delivery,9
85,business analysis,9
86,pmp,9
87,.net,9
88,oracle,9
89,java enterprise edition,9
90,sdh,10
91,dwdm,10
92,transmission,10
93,nms,10
94,provisioning,10
95,project planning,11
96,retail,11
97,python (programming language),12
98,javascript,12
99,agile project management,13
100,distributed team management,13
101,enterprise resource planning (erp),13
102,financial services,13
103,spring framework,13
104,hibernate,13
105,jquery,13
106,bootstrap,13
107,angularjs,13
108,ethernet,14
109,computer network operations,14
110,service delivery,14
111,routing,14
112,mpls,14
113,business process,14
114,qos,14
115,project management office (pmo),14
116,open source software,14
117,leadership development,14
118,php,16
119,c (programming language),16
120,machine learning,16
121,ethereum,16
122,supply chain management,17
123,strategic sourcing,17
124,global sourcing,17
125,supplier negotiation,17
126,supply management,17
127,procurement,17
128,purchasing,17
129,supply chain,17
130,logistics management,17
131,customer service,17
132,icims,20
133,sap erp,20
134,hr operations,20
135,pl/sql,21
136,programming,22
137,iso 27001,25
138,ux / ui designing,25
139,arduino,26
140,digital electronics,26
141,software development life cycle (sdlc),26
142,embedded c,26
143,adobe photoshop,26
144,ms office,26
145,html5,26
146,xml,26
147,sql,26
148,html,26
149,cascading style sheets (css),26
150,oracle sql,26
151,spring boot,26
152,spring mvc,26
153,java database connectivity (jdbc),26
154,communication,26
155,networking,26
156,ccna,26
157,communication systems,26
158,software testing life cycle (stlc),26
159,ddlc,26
160,personnel management,27
161,organizational design,27
162,screening,27
163,change management,27
164,erp,27
165,resource management,27
166,hr business partnering,27
167,deferred compensation,27
168,temporary placement,27
169,strategic planning,27
170,mergers,27
171,executive search,27
172,recruitments,27
173,benefits negotiation,27
174,mergers & acquisitions,27
175,business strategy,27
176,mergers and acquisitions,27
177,compensation & benefit,27
178,employer branding,27
179,workforce planning,27
180,succession planning,27
181,leading change,27
182,hris,27
183,training,27
184,sourcing,27
185,organizational effectiveness,27
186,cross-functional team leadership,27
187,executive management,27
188,global hr leadership,27
189,global leadership,27
190,global human resources management,27
191,hr process management,27
192,angular4,28
193,swiftui,28
194,ios development,28
195,sql server management studio,28
196,learning management,29
197,management consulting,29
198,team leadership,29
199,written & oral presentation skills,29
200,people skills,29
201,training facilitation,29
202,program facilitation,29
203,business consultancy,30
204,powerpoint,30
205,microsoft powerpoint,30
206,teamwork,32
207,it recruitment,32
208,linkedin recruiter,32
209,interviewing,32
210,interviews,32
211,engagement management,32
212,hr analytics,32
213,talent pipelining,32
214,talent scouting,32
215,linkedin,32
216,bss,33
217,oss,33
218,agile methodologies,35
219,interpersonal skills,36
220,microsoft word,36
221,employee learning & development,36
222,employee wellness,36
223,financial reporting,37
224,accounting,37
225,corporate governance,37
226,financial modeling,37
227,corporate law,37
228,data science,39
229,big data,39
230,python,39
231,hadoop,39
232,apache spark,39
233,outsourcing,42
234,bpo,42
235,operations management,42
236,process improvement,42
237,marketing strategy,43
238,product marketing,43
239,corporate branding,43
240,business process improvement,43
241,tableau,43
242,process consulting,43
243,robotics process automation,43
244,algorithms,44
245,data analysis,44
246,object-oriented programming (oop),44
247,deep learning,44
248,eclipse,44
249,problem solving,44
250,android studio,44
251,full-stack development,46
252,sales management,47
253,digital marketing,47
254,market research,47
255,consumer behavior,47
256,business analytics,47
257,statistical data analysis,47
258,financial analysis,47
259,brand management,47
260,r,47
261,spss,47
262,team building,47
263,design thinking,47
264,creative writing,48
265,motivational speaking,48
266,people management,50
267,docker,51
268,data analytics,51
269,elasticsearch,52
270,apache kafka,52
271,kafka,52
272,graphite,52
273,python selenium,53
274,python web developer,53
275,it operations,53
276,digital illustration,53
277,angular,53
278,mysql,53
279,plc allen bradley,53
280,member of toastmasters,53
281,payroll,54
282,recruitment advertising,54
283,new hire orientations,54
284,mis,54
285,exit interviews,54
286,business process re-engineering,57
287,analytics,57
288,management information systems (mis),57
289,spring cloud,59
290,jpa,59
291,spring security,59
292,spring data,59
293,spring integration,59
294,microservices,59
295,kibana,60
296,elastic stack (elk),61
297,data visualization,61
298,it outsourcing,62
299,practice management,62
300,organizational leadership,62
301,strategy planning & execution,62
302,competency mapping,63
303,debugging,66
304,react.js,67
305,computer gaming,67
306,chess,68
307,transition management,71
308,offshoring,71
309,itil,71
310,business transformation,71
311,pmo,71
312,project delivery,71
313,sla,71
314,business process outsourcing (bpo),71
315,user acceptance testing,72
316,telecommunications billing,72
317,client relations,73
318,hiring,74
319,college recruiting,74
320,b/oss,75
321,digital transformation,75
322,business support system (bss),75
323,enterprise architect,75
324,sdn nfv,75
325,togaf 9,75
326,android,76
327,unified modeling language (uml),77
328,programming languages,77
329,algorithm analysis,77
330,algorithm design,77
331,hr management,78
332,analytical skills,78
333,statistics,78
334,mathematics,78
335,research,78
336,public speaking,78
337,organization skills,78
338,multitasking,78
339,decision-making,78
340,german,78
341,organizational behavior,78
342,ethics,78
343,competency analysis,78
344,internet recruiting,79
345,applicant tracking systems,79
346,personal development,79
347,home offices,79
348,virtual collaboration,79
349,virtual work,79
350,life skills,79
351,pandas (software),81
352,predictive modeling,81
353,feature selection,81
354,engineering,82
355,solid works,82
356,catia,82
357,ansys,82
358,solidworks,82
359,angular 6,83
360,english,83
361,entrepreneurship,84
362,web development,84
363,flask,84
364,internet of things (iot),84
365,travel management,87
366,photography,88
367,advertising,88
368,data modeling,89
369,clearcase,89
370,snmp,89
371,visual basic .net (vb.net),91
372,phpmyadmin,91
373,resume writing,92
374,screening resumes,92
375,contract recruitment,92
376,snowflake,93
377,shell scripting,93
378,azure databricks,93
379,azure data factory,93
380,apache airflow,93
381,apache oozie,93
382,apache nifi,93
383,apache sqoop,93
384,hbase,93
385,mapreduce,93
386,apache tez,93
387,apache ranger,93
388,grafana,93
389,influxdb,93
390,apache zookeeper,93
391,hive,93
392,yarn,93
393,kerberos,93
394,nagios,93
395,minif,93
396,selenium,94
397,test automation framework,94
398,computer networking,95
399,corporate communications,96
400,manage client relationships,96
401,recruitment,96
402,microsoft sql server,96
403,asp.net,96
404,human resources information systems (hris),96
405,career counseling,96
406,cmmi,97
407,quality assurance,97
408,software quality assurance,97
409,six sigma,97
410,quality management,97
411,test management,97
412,iso,97
413,capability maturity model integration (cmmi),97
414,quality system,97
415,process simulation,97
416,it service management,97
417,project portfolio management,97
418,hp quality center,97
419,quality center,97
420,immigration law,99
421,policy,99
422,consulting,99
423,expatriate management,99
424,global mobility,99
425,employee benefits,99
426,event planning,100
427,renewable energy,100
428,metasolv m6,103
429,production support,103
430,inventory management,103
431,data migration,103
432,weblogic,103
433,informatica,103
434,oracle database,103
435,telecom infrastructure,103
436,databases,104
437,induction & orientation,105
438,incident management,106
439,4screening    3recruitments    3sourcing    2hr consulting    2recruiting    2ta,107
440,wcdma,108
441,universal mobile telecommunications system (umts),108
442,system architecture,108
443,lte,108
444,femtocell,108
445,mvno,108
446,tr069,108
447,recruitment/retention,109
448,talent mapping,109
449,e-recruitment,109
450,resource allocation,109
451,full-cycle recruiting,109
452,test planning,110
453,test automation,110
454,wan,110
455,ospf,110
456,customer experience,110
457,bgp,110
458,switches,110
459,iptv,110
460,mentoring,110
461,dsl,110
462,tcl,110
463,vlan,110
464,cwna,110
465,mobile virtual network operator (mvno),110
466,agile,112
467,ibm db2,112
468,c#,112
469,swagger api,112
470,visual studio,112
471,selenium webdriver,112
472,mvc,112
473,analysis,114
474,project coordination,114
475,iis,115
476,websphere process server,115
477,vmware esx,115
478,mobile devices,116
479,marketing,116
480,go-to-market strategy,116
481,start-ups,116
482,p&l responsibility,116
483,strategic consulting,116
484,b2b,116
485,competitive analysis,116
486,sales operations,116
487,p&l management,116
488,customer retention,116
489,mobile technology,116
490,network architecture,116
491,saas,116
492,contract negotiation,116
493,business operations,116
494,customer service operations,116
495,operational strategy,116
496,roaming,116
497,e-commerce,117
498,solution selling,117
499,product development,117
500,online marketing,117
501,sales process,117
502,direct sales,117
503,online advertising,117
504,international sales,117
505,international business,117
506,enterprise software,117
507,key account management,117
508,knowledge management,118
509,risk management,118
510,sap hr,118
511,business planning,119
512,customer relations,119
513,channel partners,119
514,market analysis,124
515,internet research,124
516,brand development,124
517,social media marketing,124
518,smo,124
519,business-to-business (b2b),124
520,search engine optimization (seo),124
521,marketing research,124
522,qualitative research,124
523,marketing communications,124
524,market intelligence,124
525,social media roi,124
526,primary research,124
527,high-growth,124
528,b2b business development,125
529,customer relationship management,125
530,trend analysis,125
531,team managment,125
532,banking,126
533,business requirements,126
534,requirements management,126
535,requirement analysis,126
536,artificial intelligence (ai),128
537,robotic process automation (rpa),128
538,prince2,129
539,itil v3 foundations certified,129
540,solaris,130
541,cassandra,131
542,storytelling,135
543,forecasting,135
544,data mining,135
545,sow,135
546,engineering design,136
547,graduate recruitment,138
548,fmla,138
549,soft skills,138
550,grievances,138
551,generalist profile,138
552,natural language processing (nlp),139
553,qlik sense,139
554,linear algebra,139
555,multithreading,140
556,broadband,140
557,oracle sql developer,140
558,string,140
559,jdk,140
560,java virtual machine (jvm),140
561,adtran,140
562,alcatel,140
563,collection,140
564,exception handling,140
565,big data analytics,141
566,big data preparation,141
567,private equity,142
568,venture capital,142
569,due diligence,142
570,corporate finance,142
571,web applications,144
572,budgets,145
573,solutions design,146
574,windows,147
575,facilities management,150
576,technical support,152
577,network administration,152
578,software testing,152
579,healthcare,154
580,healthcare management,154
581,hipaa,154
582,healthcare information technology,154
583,continuous improvement,154
584,u.s. health insurance portability and accountability act (hipaa),154
585,healthcare information technology (hit),154
586,data structures,155
587,design patterns,155
588,vpn,156
589,oracle oss product-mss,157
590,osm ,157
591,uim,157
592,ni7,157
593,asap,157
594,billing system-amdocs ces,157
595,surepay,157
596,mpls isp,157
597,4g/3g vote,157
598,exploratory data analysis,162
599,scikit-learn,162
600,numpy,162
601,database management system (dbms),162
602,bmc remedy,164
603,web services,164
604,cmdb,164
605,adobe illustrator,165
606,sketch app,165
607,graphic design,165
608,troubleshooting,168
609,git,168
610,jenkins,168
611,docker products,168
612,lucene,168
613,continuous integration and continuous delivery (ci/cd),168
614,dashboard,168
615,vba,169
616,telecom bss,169
617,robot framework,169
618,unix shell scripting,169
619,kenan arbor,169
620,visual basic for applications (vba),172
621,manual testing,173
622,sap implementation,175
623,sap,175
624,sap products,175
625,abap,175
626,sap r/3,175
627,adaptable,176
628,conscientious,176
629,enthusiastic,176
630,computer proficient in microsoft word and excel,176
631,ability to learn new applications quickly,176
632,easily adaptable,176
633,python(begginer),176
634,microsoft exchange,177
635,salesforce.com administration,180
636,visual basic,183
637,asp.net mvc,183
638,customer service management,183
639,soapui,189
640,katalon studio,189
641,pycharm,189
642,drupal,190
643,oracle apex,195
644,css,196
645,node.js,196
646,typescript,196
647,kannada,200
648,end-to-end testing,201
649,functional testing,201
650,waste management,205
651,kubernetes,208
652,postman api,208
653,rabbitmq,208
654,business administration,210
655,commerce,210
656,process automation,210
657,automation,210
658,uipath,210
659,company operations,210
660,back-end operations,210
661,apache spark streaming,211
662,storm,211
663,anaconda,212
664,seaborn,212
665,cloudera,212
666,csharp,212
667,internet information services (iis),212
668,spyder ide,212
669,java full stack,212
670,vb script,214
671,mongodb,215
672,windows server,216
673,linux server,216
674,active directory,216
675,router configuration,216
676,lan switching,216
677,network troubleshooting,216
678,remote troubleshooting,216
679,presentation,217
680,sailpoint,220
681,oauth,220
682,identity & access management (iam),220
683,imperva,220
684,servicenow,220
685,bmc remedy ticketing system,220
686,weblogic administration,220
687,oracle identity manager,220
688,ping federate,220
689,brand awareness,221
690,3g,221
691,.net framework,222
692,struts,225
693,release management,227
694,functional analysis,227
695,email marketing,228
696,electrical engineering,228
697,user interface design,229
698,editing,229
699,css3,229
700,web design,230
701,it management,232
702,enterprise architecture,235
703,soa,235
704,security,235
705,permanent placement,236
706,information technology,236
707,client co-ordination,237
708,database design,237
709,asp.net ajax,237
710,vb.net,237
711,crystal reports,237
712,windows services,237
713,client/server,237
714,regression testing,238
715,cobol,238
716,jira,238
717,qtp,238
718,db2,238
719,hp qtp,238
720,hp quicktest professional (qtp),238
721,service-oriented architecture (soa),240
722,entrepreneur,240
723,selling,240
724,software as a service (saas),240
725,strengthening client relationships,240
726,data center,242
727,multiprotocol label switching (mpls),242
728,border gateway protocol (bgp),242
729,cisco technologies,242
730,routers,242
731,cisco systems products,242
732,technical leadership,242
733,stakeholder management,242
734,routing protocols,242
735,carrier ethernet,242
736,ipv6,242
737,mpls networking,242
738,solutions marketing,242
739,technical communication,242
740,wireless broadband,242
741,system verification,242
742,sdn,242
743,network transformation,242
744,nfv,242
745,telco cloud,242
746,technology strategy & business alignment,242
747,business alliances,244
748,infrastructure management,244
749,professional mentoring,244
750,students chairman - electrical and electronics department,245
751,uml,246
752,service assurance,246
753,revenue assurance,246
754,oracle soa suite,246
755,adobe xd,247
756,adobe lightroom,247
757,internet of thing,247
758,administration,248
759,event management,248
760,excel,248
761,lotus notes,248
762,job diva,248
763,internet,248
764,sap abab,248
765,team coordination,250
766,nextgen,250
767,email clients,250
768,headhunting,251
769,staff augmentation,251
770,job descriptions,251
771,temporary staffing,251
772,search,251
773,salary negotiation,251
774,coordination,251
775,ibm watson,253
776,ticketing tools,254
777,application support,254
778,order processing,254
779,project life cycle,256
780,product customization cycle,256
781,tcp/ip,257
782,dhcp,257
783,software documentation,262
784,vendor management,262
785,spreadsheets,262
786,office 365,262
787,active listening,262
788,time management,262
789,virtual office,262
790,mobile testing,264
791,test automation tools,264
792,ivr,264
793,icoms,264
794,cyara automation testing,264
795,ecommerce testing,264
796,telecom oss/bss testing,264
797,salesforce testing,264
798,perfecto mobile testing,264
799,rbm,264
800,plsql,266
801,scrum developer,266
802,blue prism,269
803,autohotkey,269
804,responsive web design,270
805,json,270
806,yii,270
807,big data hadoop,271
808,coldfusion,271
809,certified scrum master,273
810,automation testing using selenium with python,273
811,e2e test management,273
812,telecom business analyst,273
813,see 1 endorsement for vendor management,274
814,1,274
815,aireen grace santiago,274
816,network engineering,274
817,social media,275
818,content writing,275
819,oracle applications,276
820,sql loader,276
821,sql pl,276
822,sql*plus,276
823,toad,276
824,oracle reports,276
825,oracle database administration,276
826,oozie,277
827,front-end development,278
828,critical thinking,279
